Charlotte,NC 0
East Bend,NC 70.4473
Cross Anchor,SC 70.5652
Lugoff,SC 70.7403
Pfafftown,NC 70.9002
Bethania,NC 71.1571
Roaring River,NC 71.1959
Enoree,SC 71.2672
Ferguson,NC 71.4115
Moore,SC 71.798
Inman,SC 71.8218
Randleman,NC 72.1825
North Wilkesboro,NC 72.3675
Cedar Falls,NC 72.3933
Hoffman,NC 72.6223
West End,NC 73.0268
Society Hill,SC 73.4129
Glenwood,NC 73.6027
Campobello,SC 73.6936
Wellford,SC 73.6947
Gramling,SC 73.8076
Robbins,NC 74.0872
Franklinville,NC 74.2644
Startex,SC 74.2667
Jamestown,NC 74.3512
Woodruff,SC 74.4013
Marston,NC 74.652
Bennettsville,SC 75.0252
Bennett,NC 75.1032
Little Mountain,SC 75.1469
Tobaccoville,NC 75.4025
Greensboro,NC 75.4594
Mill Spring,NC 75.6485
Bishopville,SC 75.6507
Collettsville,NC 75.7644
State Park,SC 75.811
Kernersville,NC 75.8205
Ramseur,NC 75.9411
Laurel Hill,NC 75.9469
Duncan,SC 75.986
Purlear,NC 76.0913
Clinton,SC 76.1568
Pinebluff,NC 76.2808
Ballentine,SC 76.3092
Irmo,SC 76.5435
Reidville,SC 76.5823
Elkin,NC 76.8707
White Rock,SC 76.8873
Joanna,SC 76.9394
Lyman,SC 76.9483
Gibson,NC 76.9536
Colfax,NC 77.0778
Horatio,SC 77.1503
Pinehurst,NC 77.2284
Walkertown,NC 77.3345
Millers Creek,NC 77.4102
State Road,NC 77.9857
Lydia,SC 77.9866
Aberdeen,NC 78.1701
Marion,NC 78.1846
Lake Lure,NC 78.2128
Pleasant Garden,NC 78.5554
Highfalls,NC 78.6101
Siloam,NC 78.6361
Lynn,NC 78.6944
Deep Gap,NC 78.6976
Peak,SC 78.8236
Newberry,SC 78.9006
Traphill,NC 78.9121
Climax,NC 78.9734
Chapin,SC 79.0848
Carthage,NC 79.3161
Kinards,SC 79.5674
Hays,NC 79.7129
Rembert,SC 80.0789
Prosperity,SC 80.3112
Tatum,SC 80.3859
Landrum,SC 80.7355
Mc Coll,SC 80.7848
Mc Grady,NC 80.8112
Greer,SC 80.9203
Columbia,SC 81.1365
Lamar,SC 81.1998
Pinnacle,NC 81.2954
Linville Falls,NC 81.3513
Chimney Rock,NC 81.361
Blowing Rock,NC 81.3629
Darlington,SC 81.3815
Southern Pines,NC 81.659
Oak Ridge,NC 81.7358
Dobson,NC 81.7878
King,NC 81.8811
Belews Creek,NC 81.8895
Newland,NC 82.0165
Germanton,NC 82.0744
Dalzell,SC 82.0786
Staley,NC 82.122
Old Fort,NC 82.3189
Pineola,NC 82.4998
Wagram,NC 82.8891
Laurinburg,NC 82.998
Ararat,NC 83.0991
Thurmond,NC 83.1264
Saluda,NC 83.6193
Linville,NC 83.7384
Glendale Springs,NC 83.7912
Crossnore,NC 83.9478
Boone,NC 83.9916
Little Switzerland,NC 84.0031
Blenheim,SC 84.014
Roaring Gap,NC 84.1108
Fleetwood,NC 84.2192
Montezuma,NC 84.7116
Gray Court,SC 84.7512
White Plains,NC 84.8331
Julian,NC 84.8592
Walnut Cove,NC 84.9734
Spruce Pine,NC 84.9775
Laurens,SC 85.1796
Bonlee,NC 85.2726
Elliott,SC 85.4568
Siler City,NC 85.4744
Liberty,NC 85.6326
Lakeview,NC 85.7335
Pilot Mountain,NC 85.8386
Fountain Inn,SC 85.925
Taylors,SC 86.0061
Banner Elk,NC 86.133
Bear Creek,NC 86.2214
Silverstreet,SC 86.3176
Goldston,NC 86.3202
Mountville,SC 86.4215
Edneyville,NC 86.4227
Clio,SC 86.4504
Tigerville,SC 86.6484
Glade Valley,NC 86.7651
Simpsonville,SC 86.8921
Plumtree,NC 87.0735
West Jefferson,NC 87.1848
Gerton,NC 87.3866
Cayce,SC 87.4966
Mount Airy,NC 87.5589
Shaw A F B,SC 87.5767
Dana,NC 87.6035
Eastover,SC 87.626
Stokesdale,NC 87.8885
Penland,NC 87.9175
Black Mountain,NC 88.0176
Flat Rock,NC 88.1143
Jefferson,NC 88.2443
Montreat,NC 88.4696
Ridgecrest,NC 88.4963
Laurel Springs,NC 88.5868
West Columbia,SC 88.616
Mauldin,SC 88.645
Summerfield,NC 88.8386
Hopkins,SC 89.357
Fairview,NC 89.4693
Minneapolis,NC 89.6815
Whitsett,NC 89.7022
Pine Hall,NC 89.747
East Flat Rock,NC 89.8068
Toast,NC 89.8236
Sparta,NC 90.037
Mc Leansville,NC 90.0668
Mayesville,SC 90.2087
Todd,NC 90.2577
Vass,NC 90.297
Minturn,SC 90.3446
Lexington,SC 90.3883
Tuxedo,NC 90.4605
Cross Hill,SC 90.5348
Sedalia,NC 90.5573
Lowgap,NC 90.6566
Gulf,NC 90.7053
Westfield,NC 90.9155
Timmonsville,SC 90.971
Maxton,NC 91.0015
Valle Crucis,NC 91.1049
Greenville,SC 91.1351
Travelers Rest,SC 91.2434
Ennice,NC 91.3074
Conestee,SC 91.3527
Scottville,NC 91.3991
Chappells,SC 91.4949
Raeford,NC 91.5392
Sugar Grove,NC 91.6269
Micaville,NC 91.7339
Little Rock,SC 91.8287
Vilas,NC 91.964
Zionville,NC 92.4723
Swannanoa,NC 92.7844
Danbury,NC 92.7899
Lynchburg,SC 93.1226
Hendersonville,NC 93.1254
Gilbert,SC 93.2325
Cameron,NC 93.2373
Snow Camp,NC 93.3975
Lemon Springs,NC 93.4322
Waterloo,SC 93.4693
Elk Park,NC 93.6002
Crumpler,NC 93.6146
Sumter,SC 93.6647
Mountain Home,NC 93.7504
Madison,NC 93.808
Zirconia,NC 93.9896
Gadsden,SC 94.1599
Gibsonville,NC 94.2424
Fletcher,NC 94.2453
Alamance,NC 94.3706
Bakersville,NC 94.3978
Cumnock,NC 94.4316
Browns Summit,NC 94.6937
Slater,SC 94.8866
Sanford,NC 94.9703
Florence,SC 94.994
Piney Creek,NC 95.1233
Red Springs,NC 95.1398
Ware Shoals,SC 95.2505
Naples,NC 95.2782
Burnsville,NC 95.4029
Lambsburg,VA 95.5952
Wedgefield,SC 95.8285
Warrensville,NC 95.8539
Latta,SC 95.9251
Trade,TN 96.2458
Gaston,SC 96.6107
Barnardsville,NC 96.8794
Lawsonville,NC 97.1014
Sandy Ridge,NC 97.1195
Leesville,SC 97.2861
Skyland,NC 97.4124
Olivia,NC 97.5993
Marietta,SC 97.6702
Mayodan,NC 97.7319
Cana,VA 97.7545
Pittsboro,NC 97.8281
Saluda,SC 97.9336
Bat Cave,NC 97.9529
Roan Mountain,TN 98.0931
Piedmont,SC 98.1036
Grassy Creek,NC 98.2759
Creston,NC 98.4152
Pelzer,SC 98.4748
Ararat,VA 98.4917
Graham,NC 98.5643
Dillon,SC 98.611
Hamer,SC 98.7477
Rowland,NC 98.87
Butler,TN 98.9348
Elon,NC 98.9398
Lansing,NC 99.0167
Shannon,NC 99.1493
Saxapahaw,NC 99.1958
Hampton,TN 99.4215
Burlington,NC 99.5478
Green Mountain,NC 99.7481
Claudville,VA 99.8309
Mills River,NC 99.8843
Asheville,NC 99.8994
Ninety Six,SC 100.003
Sellers,SC 100.006
Swepsonville,NC 100.022
Moncure,NC 100.164
Etowah,NC 100.24
Altamahaw,NC 100.375
Pembroke,NC 100.408
Fancy Gap,VA 100.534
Olanta,SC 100.6
Effingham,SC 100.713
Lumber Bridge,NC 100.94
Batesburg,SC 101.019
Independence,VA 101.034
Stoneville,NC 101.063
Horse Shoe,NC 101.162
Cedar Mountain,NC 101.2
Hodges,SC 101.286
Galax,VA 101.306
Gable,SC 101.395
Penrose,NC 101.41
Weaverville,NC 101.461
Arden,NC 101.543
Haw River,NC 101.673
Swansea,SC 101.8
Wentworth,NC 102.196
Easley,SC 102.218
Pope A F B,NC 102.527
Pelion,SC 102.749
Bynum,NC 102.886
Cleveland,SC 103.093
Reidsville,NC 103.279
Turbeville,SC 103.316
Mouth Of Wilson,VA 103.387
Mountain City,TN 103.394
Honea Path,SC 103.493
Ward,SC 103.516
Rex,NC 103.561
Fort Bragg,NC 103.704
Sardinia,SC 103.769
Donalds,SC 103.805
Greenwood,SC 103.837
Broadway,NC 104.459
Williamston,SC 104.718
Enka,NC 104.83
Coward,SC 104.919
Spencer,VA 104.96
Monetta,SC 105.019
Pisgah Forest,NC 105.183
Alcolu,SC 105.261
Laurel Fork,VA 105.264
Critz,VA 105.291
Woodlawn,VA 105.319
Mars Hill,NC 105.571
Fries,VA 105.58
Saint Matthews,SC 105.59
Spring Lake,NC 105.736
Cumberland,NC 105.85
Parkton,NC 105.997
Pinewood,SC 106.362
Scranton,SC 106.368
Elk Creek,VA 106.712
Belton,SC 106.731
Whitetop,VA 106.763
Unicoi,TN 107.008
Vesta,VA 107.507
Ridge Spring,SC 107.606
Meadows Of Dan,VA 107.616
